1	49152	W
1	49156	W
1	49160	W
1	49164	R
1	42267	W
1	42271	W
1	42275	R
1	42279	R
1	42283	W
1	42287	W
1	42291	R
1	42295	W
1	42299	W
1	42303	R
1	37890	W
1	37894	R
1	37898	R
1	37902	R
1	37906	R
1	37910	W
1	41922	R
1	41926	W
1	41930	W
1	41934	W
1	41938	R
1	41942	W
1	41946	R
1	41950	W
1	41954	R
1	41958	R
1	41962	W
1	41966	R
1	41970	R
1	41974	R
1	46883	R
1	46887	R
1	46891	R
1	46895	R
1	46899	R
1	35794	W
1	35798	W
1	35802	W
1	35806	W
1	35810	W
1	35814	R
1	35818	W
1	35822	R
1	35826	R
1	35830	R
1	60225	R
1	60229	R
1	50468	R
1	50472	R
1	50476	W
1	50480	R
1	50484	R
1	50488	R
1	50492	W
1	50496	W
1	58027	R
1	58031	R
1	58035	R
1	58039	R
1	58043	W
1	58047	W
1	58051	R
1	64832	W
1	64836	R
1	64840	W
1	65422	R
1	65426	W
1	65430	W
1	65434	R
1	65438	R
1	65442	W
1	65446	R
1	65450	R
1	65454	W
1	65458	R
1	65462	R
1	65466	W
1	65470	R
1	65474	W
1	65478	R
1	65482	R
1	65486	W
1	65490	R
1	65494	W
1	65498	R
1	65502	R
1	65506	R
1	65510	R
1	65514	R
1	65518	W
1	65522	R
1	65526	R
1	65530	R
1	65534	W
1	65534	W
1	65534	W
1	36891	W
1	47017	R
1	47021	R
1	47025	R
1	47029	W
1	47033	W
1	47037	W
1	47041	W
1	47045	W
1	47049	R
1	47053	W
1	47057	W
1	47061	R
1	52706	W
1	52710	W
1	52714	W
1	58165	R
1	58169	W
1	58173	W
1	58177	W
1	58181	W
1	58185	W
1	58189	R
1	62505	W
1	62509	W
1	62513	R
1	62517	W
1	62521	R
1	62525	W
1	62529	R
1	65389	R
1	65393	W
1	65397	W
1	65401	W
1	65405	R
1	65409	R
1	65413	W
1	65417	W
1	65421	W
1	65425	R
1	65429	R
1	65433	R
1	65437	W
1	65441	R
1	65445	W
1	65449	R
1	65453	W
1	65457	W
1	65461	R
1	65465	W
1	65469	R
1	65473	R
1	65477	W
1	65499	W
1	65503	R
1	65507	R
1	65511	W
1	65515	W
1	65519	R
1	65523	R
1	65527	R
1	65531	W
1	58773	W
1	58777	R
1	58781	W
1	58785	W
1	58789	R
1	58793	R
1	58797	R
1	58801	W
1	58805	R
1	60964	R
1	60968	R
1	60972	R
1	39184	R
1	39188	W
1	39192	W
1	39196	R
1	39200	R
1	39204	W
1	32974	R
1	32978	W
1	32982	W
1	32986	R
1	32990	W
1	32994	W
1	32998	W
1	33002	W
1	33006	R
1	33010	W
1	33014	W
1	33018	W
1	32895	R
1	32899	R
1	32903	R
1	32907	R
1	32911	R
1	32915	W
1	32919	R
1	32923	W
1	32927	R
1	32931	W
1	32935	R
1	32939	W
1	32873	R
1	32877	R
1	32881	R
1	32885	W
1	45660	W
1	45664	R
1	45668	W
1	45672	R
1	45676	W
1	48294	R
1	48298	R
1	48302	R
1	48306	W
1	48310	W
1	48314	R
1	48318	R
1	48322	W
1	48326	W
1	48330	R
1	48334	W
1	48338	R
1	52917	W
1	52921	W
1	33296	W
1	33300	R
1	33304	R
1	33308	R
1	33312	W
1	33316	R
1	33320	W
1	33324	W
1	33328	W
1	50935	R
1	50939	W
1	50943	R
1	50947	W
1	50951	W
1	50955	R
1	50959	R
1	50963	R
1	50967	W
1	50971	R
1	50975	R
1	50979	R
1	50983	R
1	50987	R
1	50991	W
1	50995	W
1	50999	W
1	51003	W
1	51007	W
1	51011	W
1	51015	R
1	35853	W
1	35857	W
1	35861	R
1	35865	W
1	35869	R
1	35873	R
1	52984	W
1	52988	R
1	52992	W
1	52996	R
1	53000	R
1	37083	W
1	37087	W
1	37091	W
1	37095	R
1	56375	R
1	56379	W
1	56383	R
1	56387	W
1	56391	R
1	56395	R
1	56399	R
1	56403	W
1	58239	R
1	58243	R
1	58247	R
